iter	Passed	Remaining
0	113	113569
1	115	57659
2	117	38964
3	118	29593
4	120	23919
5	121	20121
6	122	17419
7	123	15367
8	125	13765
9	126	12481
10	127	11436
11	128	10546
12	128	9791
13	129	9142
14	130	8580
15	131	8088
16	132	7648
17	132	7251
18	133	6895
19	134	6575
20	134	6286
21	135	6023
22	136	5782
23	136	5557
24	137	5349
25	137	5160
26	138	4983
27	138	4818
28	139	4664
29	139	4521
30	140	4387
31	140	4261
32	141	4144
33	141	4032
34	142	3927
35	142	3828
36	143	3734
37	144	3645
38	144	3561
39	145	3481
40	145	3404
41	146	3331
42	146	3262
43	147	3196
44	147	3132
45	148	3071
46	148	3013
47	149	2958
48	149	2904
49	150	2853
50	150	2804
51	151	2756
52	151	2711
53	152	2667
54	152	2625
55	153	2585
56	153	2546
57	154	2508
58	154	2471
59	155	2436
60	156	2402
61	156	2368
62	157	2336
63	157	2305
64	158	2275
65	158	2245
66	159	2217
67	159	2186
68	160	2160
69	160	2134
70	161	2109
71	161	2084
72	162	2060
73	162	2036
74	163	2014
75	163	1992
76	164	1971
77	164	1949
78	165	1929
79	165	1908
80	166	1889
81	167	1870
82	167	1851
83	168	1833
84	168	1813
85	169	1796
86	169	1777
87	169	1761
88	170	1745
89	171	1729
90	171	1713
91	172	1698
92	172	1683
93	173	1669
94	173	1654
95	174	1640
96	174	1627
97	175	1613
98	175	1600
99	176	1587
100	176	1575
101	177	1560
102	177	1547
103	178	1535
104	178	1523
105	179	1512
106	179	1500
107	180	1490
108	180	1479
109	181	1468
110	182	1457
111	182	1447
112	183	1437
113	183	1428
114	184	1419
115	184	1409
116	185	1400
117	186	1391
118	186	1382
119	187	1374
120	187	1365
121	188	1357
122	188	1346
123	189	1339
124	190	1331
125	190	1323
126	191	1314
127	191	1305
128	192	1297
129	192	1290
130	193	1282
131	193	1274
132	194	1267
133	194	1259
134	195	1252
135	196	1245
136	196	1237
137	196	1229
138	197	1223
139	197	1216
140	198	1209
141	199	1202
142	199	1196
143	200	1189
144	200	1183
145	201	1176
146	201	1170
147	202	1164
148	202	1158
149	203	1152
150	203	1146
151	204	1140
152	205	1134
153	205	1129
154	206	1123
155	206	1117
156	207	1112
157	207	1106
158	208	1100
159	208	1095
160	209	1090
161	209	1085
162	210	1080
163	210	1075
164	211	1069
165	211	1064
166	212	1059
167	213	1055
168	213	1050
169	214	1045
170	214	1040
171	215	1035
172	215	1031
173	216	1026
174	216	1022
175	217	1017
176	217	1013
177	218	1008
178	218	1004
179	219	999
180	219	994
181	220	990
182	220	986
183	221	982
184	221	977
185	222	973
186	223	969
187	223	965
188	224	961
189	224	957
190	225	954
191	225	950
192	226	946
193	227	943
194	227	939
195	228	936
196	228	932
197	229	928
198	229	925
199	230	921
200	230	918
201	231	914
202	232	911
203	232	907
204	233	904
205	233	900
206	234	897
207	234	894
208	235	890
209	235	887
210	236	884
211	236	880
212	237	877
213	238	874
214	238	871
215	239	868
216	239	865
217	240	862
218	241	859
219	241	856
220	242	853
221	242	850
222	243	847
223	243	845
224	244	842
225	245	839
226	245	836
227	246	833
228	246	830
229	247	828
230	248	825
231	248	823
232	249	820
233	249	817
234	250	815
235	250	812
236	251	809
237	252	806
238	252	804
239	252	801
240	253	798
241	253	795
242	254	792
243	255	790
244	255	787
245	256	784
246	256	782
247	257	779
248	257	776
249	258	774
250	258	771
251	259	769
252	259	766
253	260	764
254	260	761
255	261	759
256	262	757
257	262	755
258	263	752
259	263	750
260	264	748
261	264	745
262	265	743
263	265	741
264	266	739
265	267	736
266	267	734
267	268	732
268	268	730
269	269	727
270	269	725
271	270	723
272	270	721
273	271	719
274	271	716
275	272	714
276	272	712
277	273	710
278	274	708
279	274	706
280	275	704
281	275	702
282	276	700
283	276	697
284	277	695
285	277	693
286	278	691
287	278	689
288	279	687
289	279	685
290	280	683
291	280	681
292	281	679
293	282	677
294	282	675
295	283	673
296	283	671
297	284	669
298	284	667
299	285	665
300	285	663
301	286	661
302	286	659
303	287	657
304	287	655
305	288	653
306	288	651
307	289	649
308	289	647
309	290	646
310	290	644
311	291	642
312	291	640
313	292	638
314	292	637
315	293	635
316	293	633
317	294	631
318	294	629
319	295	627
320	295	626
321	296	624
322	296	622
323	297	620
324	298	619
325	298	617
326	299	615
327	299	613
328	300	612
329	300	610
330	301	608
331	301	607
332	302	605
333	302	603
334	303	602
335	304	600
336	304	599
337	305	598
338	305	596
339	306	594
340	306	593
341	307	591
342	307	589
343	308	588
344	308	586
345	309	585
346	310	583
347	310	581
348	311	580
349	311	578
350	312	577
351	312	575
352	313	573
353	313	572
354	314	570
355	314	569
356	315	567
357	315	566
358	316	564
359	316	563
360	317	561
361	317	559
362	318	558
363	318	557
364	319	555
365	320	554
366	320	553
367	321	551
368	321	550
369	322	548
370	322	547
371	323	545
372	323	544
373	324	543
374	325	541
375	325	540
376	325	538
377	326	537
378	327	535
379	327	534
380	328	532
381	328	531
382	329	530
383	329	528
384	330	527
385	330	525
386	331	524
387	331	523
388	332	521
389	332	520
390	333	518
391	333	517
392	334	516
393	334	514
394	335	513
395	335	511
396	336	510
397	336	509
398	337	507
399	337	506
400	338	505
401	338	503
402	339	502
403	339	501
404	340	499
405	340	498
406	341	497
407	341	496
408	342	494
409	342	493
410	343	491
411	343	490
412	344	489
413	344	488
414	345	486
415	345	485
416	346	484
417	347	483
418	348	482
419	348	481
420	349	481
421	350	480
422	351	478
423	351	477
424	352	476
425	353	475
426	353	474
427	354	473
428	354	472
429	355	471
430	356	470
431	356	468
432	357	467
433	357	466
434	358	465
435	358	464
436	359	462
437	359	461
438	360	460
439	360	459
440	361	458
441	362	457
442	362	455
443	363	454
444	363	453
445	364	452
446	364	451
447	365	450
448	365	449
449	366	447
450	367	446
451	367	445
452	368	444
453	368	443
454	369	442
455	369	441
456	370	439
457	370	438
458	371	437
459	371	436
460	372	435
461	373	434
462	373	433
463	374	432
464	374	431
465	375	430
466	375	429
467	376	427
468	377	426
469	377	425
470	378	424
471	378	423
472	379	422
473	379	421
474	380	420
475	380	419
476	381	418
477	382	417
478	382	416
479	383	415
480	383	414
481	384	413
482	385	412
483	385	411
484	386	410
485	386	408
486	387	407
487	387	406
488	388	405
489	388	404
490	389	403
491	390	402
492	390	401
493	391	400
494	391	399
495	392	398
496	392	397
497	393	396
498	394	395
499	394	394
500	395	393
501	395	392
502	396	391
503	397	390
504	397	389
505	398	388
506	398	387
507	399	386
508	399	385
509	400	384
510	400	383
