iter	Passed	Remaining
0	130	130714
1	133	66831
2	146	48655
3	169	42279
4	171	34070
5	172	28533
6	173	24571
7	174	21594
8	174	19260
9	175	17387
10	176	15853
11	176	14566
12	177	13484
13	178	12556
14	178	11747
15	179	11039
16	180	10418
17	180	9863
18	181	9377
19	182	8933
20	182	8528
21	183	8163
22	184	7831
23	185	7525
24	185	7244
25	186	6982
26	186	6738
27	187	6511
28	188	6303
29	189	6112
30	189	5927
31	190	5756
32	190	5595
33	191	5445
34	192	5304
35	192	5167
36	193	5038
37	194	4914
38	195	4806
39	195	4699
40	196	4595
41	197	4498
42	198	4412
43	199	4330
44	200	4248
45	200	4165
46	201	4085
47	202	4011
48	202	3939
49	203	3869
50	204	3801
51	204	3735
52	205	3674
53	206	3615
54	206	3556
55	208	3512
56	209	3460
57	209	3410
58	210	3358
59	211	3308
60	213	3283
61	214	3241
62	215	3202
63	216	3163
64	217	3126
65	218	3090
66	219	3050
67	219	3010
68	220	2972
69	220	2935
70	221	2899
71	222	2864
72	222	2830
73	223	2796
74	224	2764
75	224	2732
76	225	2700
77	225	2669
78	226	2639
79	226	2609
80	227	2581
81	228	2552
82	228	2522
83	228	2495
84	229	2469
85	229	2443
86	230	2418
87	230	2393
88	231	2369
89	232	2345
90	232	2322
91	233	2299
92	233	2277
93	234	2255
94	234	2234
95	235	2214
96	235	2194
97	236	2174
98	236	2154
99	237	2135
100	237	2115
101	238	2097
102	238	2079
103	239	2061
104	239	2044
105	240	2028
106	241	2011
107	241	1995
108	242	1979
109	242	1963
110	243	1948
111	243	1934
112	244	1919
113	245	1904
114	245	1889
115	246	1875
116	246	1860
117	247	1846
118	247	1832
119	248	1819
120	248	1806
121	249	1792
122	249	1780
123	250	1767
124	250	1755
125	251	1743
126	251	1730
127	252	1718
128	252	1707
129	253	1696
130	253	1684
131	254	1673
132	255	1662
133	255	1652
134	256	1641
135	256	1630
136	257	1620
137	257	1610
138	258	1600
139	258	1590
140	259	1581
141	259	1570
142	260	1560
143	260	1551
144	261	1542
145	262	1533
146	262	1524
147	263	1515
148	263	1506
149	264	1497
150	264	1489
151	265	1480
152	265	1472
153	266	1464
154	267	1456
155	267	1448
156	268	1440
157	268	1432
158	269	1424
159	269	1417
160	270	1409
161	270	1401
162	271	1394
163	272	1387
164	272	1380
165	273	1375
166	274	1369
167	275	1364
168	276	1358
169	277	1352
170	277	1346
171	278	1339
172	279	1333
173	279	1328
174	280	1322
175	281	1316
176	281	1310
177	282	1303
178	282	1297
179	283	1291
180	284	1285
181	284	1279
182	285	1273
183	285	1267
184	286	1261
185	286	1255
186	287	1249
187	288	1244
188	288	1239
189	289	1234
190	290	1229
191	291	1224
192	291	1219
193	292	1214
194	292	1208
195	293	1203
196	293	1197
197	294	1192
198	294	1187
199	295	1182
200	296	1176
201	296	1171
202	297	1166
203	297	1161
204	298	1156
205	298	1151
206	299	1146
207	299	1141
208	300	1136
209	300	1131
210	301	1126
211	301	1122
212	302	1117
213	303	1113
214	303	1109
215	304	1105
216	305	1101
217	306	1097
218	306	1093
219	307	1090
220	308	1086
221	308	1082
222	309	1078
223	310	1074
224	310	1070
225	311	1066
226	311	1062
227	312	1058
228	313	1054
229	313	1050
230	314	1046
231	315	1042
232	315	1038
233	316	1034
234	319	1039
235	320	1036
236	320	1032
237	321	1029
238	322	1026
239	322	1022
240	323	1018
241	324	1015
242	324	1011
243	325	1007
244	325	1004
245	326	1000
246	326	996
247	327	993
248	328	989
249	328	985
250	329	982
251	329	978
252	330	975
253	330	972
254	331	968
255	332	965
256	332	961
257	333	958
258	334	956
259	334	953
260	335	950
261	336	946
262	336	943
263	337	940
264	338	937
265	338	934
266	339	931
267	340	928
268	340	926
269	341	922
270	341	919
271	342	916
272	342	913
273	343	910
274	344	907
275	344	903
276	345	900
277	345	897
278	346	894
279	346	891
280	347	888
281	347	885
282	348	883
283	349	882
284	350	879
285	351	876
286	351	873
287	352	870
288	352	868
289	353	865
290	353	862
291	354	859
292	355	856
293	355	853
294	356	851
295	356	848
296	357	845
297	357	842
298	358	840
299	358	837
300	359	834
301	360	832
302	360	829
303	361	826
304	361	824
305	362	821
306	362	819
307	363	816
308	363	813
309	364	812
310	365	809
311	366	807
312	366	805
313	367	802
314	368	800
315	368	798
316	369	796
317	370	793
318	370	791
319	371	789
320	371	786
321	372	784
322	373	781
323	373	779
324	374	777
325	374	774
326	375	772
327	375	769
328	376	767
329	376	765
330	377	762
331	377	760
332	378	758
333	379	755
334	380	754
335	380	752
336	381	750
337	382	748
338	382	746
339	383	744
340	384	742
341	385	742
342	386	740
343	387	738
344	388	736
345	388	734
346	389	732
347	390	730
348	390	728
349	391	726
350	391	724
351	392	722
352	393	720
353	393	718
354	394	716
355	395	714
356	395	712
357	396	711
358	397	709
359	397	707
360	398	705
361	399	703
362	399	701
363	400	699
364	401	697
365	401	695
366	402	693
367	402	691
368	403	689
369	404	687
370	404	685
371	405	683
372	405	681
373	406	679
374	406	678
375	407	676
376	407	673
377	408	671
378	408	669
379	409	668
380	410	666
381	410	664
382	411	662
383	411	660
384	412	658
385	413	657
386	413	655
387	414	654
388	415	652
389	415	650
390	416	648
391	416	646
392	417	644
393	418	642
394	418	641
395	419	639
396	419	637
397	420	635
398	420	633
399	421	631
400	421	630
401	422	628
402	423	626
403	423	624
404	424	622
405	424	621
406	425	619
407	425	618
408	426	616
409	427	614
410	427	613
411	428	611
412	429	609
413	429	608
414	430	606
415	431	605
416	431	603
417	432	601
418	432	600
419	433	598
420	433	596
421	434	594
422	434	593
423	435	591
424	436	589
425	436	588
426	437	586
427	437	584
428	438	583
429	438	581
430	439	579
431	439	578
432	440	576
433	441	575
434	442	574
435	443	573
436	443	571
437	444	570
438	445	568
439	445	567
440	446	565
441	446	564
442	447	562
443	447	560
444	448	559
445	449	557
446	449	556
447	450	554
448	450	553
449	451	551
450	451	549
451	452	548
452	452	546
453	453	545
454	453	543
455	454	542
456	455	540
457	455	539
458	456	537
459	456	536
460	457	534
461	458	533
462	458	531
463	459	530
464	459	528
465	460	527
466	460	526
467	461	524
468	462	523
469	462	521
470	463	520
471	463	518
472	464	517
473	464	515
474	465	514
475	465	512
476	466	511
477	466	509
478	467	508
479	468	507
480	468	505
481	469	504
482	469	502
483	470	501
484	470	500
485	471	498
486	472	497
487	472	495
488	473	494
489	473	493
490	474	491
491	475	490
492	475	489
493	476	487
494	476	486
495	477	484
496	477	483
497	478	482
498	478	480
499	479	479
500	479	478
501	480	476
502	481	475
503	481	473
504	482	472
505	482	471
506	483	469
507	483	468
508	484	467
509	485	466
510	485	464
511	486	463
512	486	462
513	487	460
514	488	459
515	488	458
516	489	457
517	490	456
518	490	454
519	491	453
520	492	452
521	492	451
522	493	449
523	494	448
524	494	447
525	495	446
526	495	444
527	496	443
528	496	442
529	497	441
530	498	439
531	498	438
532	499	437
533	499	436
534	500	434
535	500	433
536	501	432
537	501	431
538	502	429
539	506	431
540	507	430
541	507	428
542	508	427
543	508	426
544	509	425
545	509	423
546	510	422
547	510	421
548	511	420
549	511	418
550	512	417
551	513	416
552	513	415
553	514	413
554	514	412
555	515	411
556	515	410
557	516	409
558	516	407
559	517	406
560	518	405
561	518	404
562	519	403
563	520	402
564	521	401
565	522	400
566	523	399
567	524	398
568	524	397
569	525	396
570	526	395
571	527	394
572	527	393
573	528	392
574	529	391
575	529	390
576	530	388
577	531	387
578	531	386
579	532	385
580	534	385
581	535	384
582	537	384
583	538	383
584	538	382
585	539	381
586	540	379
587	540	378
588	541	377
589	542	376
590	542	375
591	543	374
592	544	373
593	544	372
594	545	371
595	545	369
596	546	368
597	546	367
598	547	366
599	548	365
600	549	364
601	549	363
602	550	362
603	550	361
604	551	360
605	552	358
606	552	357
607	553	356
608	553	355
609	554	354
610	555	353
611	555	352
612	556	351
613	557	350
614	558	349
615	558	348
616	559	347
617	560	346
618	560	345
619	561	344
620	562	343
621	562	342
622	563	341
623	564	339
624	564	338
625	565	337
626	566	336
627	566	335
628	567	334
629	568	333
630	568	332
631	569	331
632	570	330
633	570	329
634	571	328
635	572	327
636	572	326
637	573	325
638	574	324
639	575	323
640	575	322
641	576	321
642	577	320
643	578	319
644	579	318
645	580	317
646	581	317
647	582	316
648	582	315
649	583	314
650	584	313
651	584	312
652	585	311
653	586	310
654	586	309
655	587	308
656	588	306
657	588	305
658	589	304
659	589	303
660	590	302
661	590	301
662	591	300
663	591	299
664	592	298
665	593	297
666	593	296
667	594	295
668	595	294
669	595	293
670	596	292
671	596	291
672	597	290
673	598	289
674	598	288
675	599	287
676	599	286
677	600	285
678	600	284
679	601	282
680	601	281
681	602	280
682	602	279
683	603	278
684	603	277
685	604	276
686	605	275
687	605	274
688	606	273
689	606	272
690	607	271
691	607	270
692	608	269
693	609	268
694	609	267
695	610	266
696	610	265
697	611	264
698	611	263
699	612	262
700	613	261
701	613	260
702	614	259
703	614	258
704	615	257
705	615	256
706	616	255
707	617	254
708	617	253
709	618	252
710	618	251
711	619	250
712	619	249
713	620	248
714	620	247
715	621	246
716	622	245
717	622	244
718	623	243
719	624	242
720	624	241
721	625	240
722	625	239
723	626	238
724	626	237
725	627	236
726	628	235
727	628	234
728	629	233
729	629	232
730	630	231
731	630	230
732	631	229
733	631	229
734	632	228
735	633	227
736	633	226
737	634	225
738	634	224
739	635	223
740	636	222
741	636	221
742	637	220
743	637	219
744	638	218
745	638	217
746	639	216
747	639	215
748	640	214
749	641	213
750	641	212
751	642	211
752	642	210
753	643	209
